,Predict,Low,Up
2034-05-01,447.2156551806023,437.5426785676107,456.8886317935939
2034-06-01,446.44066921653217,436.71602827877496,456.1653101542894
2034-07-01,444.76095824421833,434.9849428597222,454.53697362871446
2034-08-01,442.6733256434516,432.8462125605543,452.50043872634893
2034-09-01,441.23179570408587,431.3538532213571,451.10973818681464
2034-10-01,441.5004252145424,431.5719154862192,451.4289349428656
2034-11-01,443.02467099692666,433.04585120808156,453.00349078577176
2034-12-01,444.4483642153174,434.41116912712687,454.4855593035079
2035-01-01,445.6442258987965,435.55200447424255,455.73644732335043
2035-02-01,446.3862390186832,436.23963080022486,456.5328472371416
2035-03-01,447.285994687849,437.0856266512056,457.4863627244924
2035-04-01,448.8327414043112,438.57903216735264,459.0864506412698
2035-05-01,449.4320687152447,439.12536496519226,459.7387724652972
2035-06-01,448.657370924821,438.29797743933466,459.01676441030736
2035-07-01,446.97828454244603,436.5664844401751,457.390084644717
2035-08-01,444.8914282147048,434.42749196102227,455.3553644683873
2035-09-01,443.4504342991619,432.9346242697945,453.9662443285293
2035-10-01,443.7189639214279,433.1515366470944,454.28639119576144
2035-11-01,445.2426429226244,434.6238502297751,455.8614356154737
2035-12-01,446.6658067496645,435.9877622680922,457.34385123123684
2036-01-01,447.86122375951345,437.12719728893796,458.59525023008894
2036-02-01,448.602960966498,437.8135766029509,459.39234533004515
2036-03-01,449.5023820671888,438.6582521033829,460.34651203099475
2036-04-01,451.04855363563274,440.1500869089242,461.9470203623413
2036-05-01,451.6476580904829,440.69519330865745,462.6001228723083
2036-06-01,450.8732483665501,439.8670834287355,461.87941330436473
2036-07-01,449.19478634186413,438.1351981283811,460.25437455534717
2036-08-01,447.10870599849613,435.99595916910204,458.22145282789023
2036-09-01,445.66824790745903,434.50259935752376,456.8338964573943
2036-10-01,445.9366776786774,434.71837872796203,457.1549766293928
2036-11-01,447.4597901094401,436.1890876114799,458.7304926074003
2036-12-01,448.8824247419805,437.5515994382001,460.2132500457609
2037-01-01,450.0773972435483,438.6896453108125,461.4651491762841
2037-02-01,450.8188586402272,439.37478986634017,462.2629274141142
2037-03-01,451.7179452968502,440.2181583487485,463.2177322449519
2037-04-01,453.26354193114094,441.70843658212476,464.8186472801571
